time,kph,mps,a,delta_x,x,slope,tractionForce,rollingResist,gradeResist,airBrk,approxTf
0.0,0,0.0,0.5833190025795356,0.2916595012897678,0,0,0.5869733447979363,-0.003654342218400688,-0.0,0,0
1.0,2.0999484092863283,0.5833190025795356,0.5831935429606429,0.874915774059857,0.2916595012897678,0,0.5869733447979363,-0.0037798018372934565,-0.0,0,0
2.0,4.199445163944643,1.1665125455401784,0.5830672767646927,1.4580461839225247,1.1665752753496248,0,0.5869733447979363,-0.003906068033243534,-0.0,0,0
3.0,6.298487360297536,1.749579822304871,0.5829402047059467,2.0410499246578446,2.6246214592721495,0,0.5869733447979363,-0.004033140091989636,-0.0,0,0
4.0,8.397072097238944,2.3325200270108177,0.5828123275030018,2.623926190762319,4.665671383929994,0,0.5869733447979363,-0.0041610172949345025,-0.0,0,0
5.0,10.49519647624975,2.9153323545138194,0.5826836458787829,3.206674177453211,7.289597574692313,0,0.5869733447979363,-0.004289698919153465,-0.0,0,0
6.0,12.592857601413368,3.498016000392602,0.5825541605605332,3.7892930806728686,10.496271752145525,0,0.5869733447979363,-0.004419184237403059,-0.0,0,0
7.0,14.690052579431287,4.080570160953135,0.5824238722798066,4.371782097093038,14.285564832818393,0,0.5869733447979363,-0.0045494725181296795,-0.0,0,0
8.0,16.78677851963859,4.662994033232942,0.582292781772458,4.954140424119171,18.65734692991143,0,0.5869733447979363,-0.004680563025478296,-0.0,0,0
9.0,18.883032534019442,5.2452868150054,0.5821608897786351,5.536367259894718,23.6114873540306,0,0.5869733447979363,-0.004812455019301202,-0.0,0,0
10.0,20.978811737222525,5.827447704784035,0.5820281970427694,6.1184618033054194,29.14785461392532,0,0.5869733447979363,-0.004945147755166819,-0.0,0,0
11.0,23.074113246576495,6.409475901826804,0.5818947043135677,6.700423253983588,35.26631641723074,0,0.5869733447979363,-0.005078640484368545,-0.0,0,0
12.0,25.16893418210534,6.9913706061403715,0.5817604123440027,7.282250812312373,41.96673967121433,0,0.5869733447979363,-0.005212932453933649,-0.0,0,0
13.0,27.263271666543748,7.573131018484374,0.5816253218913041,7.863943679430026,49.2489904835267,0,0.5869733447979363,-0.0053480229066322155,-0.0,0,0
14.0,29.357122825352445,8.154756340375679,0.5814894337169502,8.445501057234154,57.11293416295672,0,0.5869733447979363,-0.005483911080986135,-0.0,0,0
15.0,31.450484786733462,8.736245774092628,0.5813527485866582,9.026922148385957,65.55843522019087,0,0.5869733447979363,-0.005620596211278129,-0.0,0,0
16.0,33.54335468164543,9.317598522679287,0.5812152672703754,9.608206156314475,74.58535736857684,0,0.5869733447979363,-0.0057580775275608434,-0.0,0,0
17.0,35.635729643818784,9.898813789949662,0.5810769905422704,10.189352285220798,84.19356352489132,0,0.5869733447979363,-0.0058963542556659705,-0.0,0,0
18.0,37.727606809770954,10.479890780491932,0.5809379191807229,10.770359740082293,94.38291581011211,0,0.5869733447979363,-0.0060354256172134154,-0.0,0,0
19.0,39.81898331882156,11.060828699672655,0.5807980539683157,11.351227726656813,105.15327555019441,0,0.5869733447979363,-0.006175290829620522,-0.0,0,0
20.0,41.9098563131075,11.64162675364097,0.580657395691825,11.931955451486884,116.50450327685122,0,0.5869733447979363,-0.006315949106111331,-0.0,0,0
21.0,44.00022293759806,12.222284149332795,0.5805159451422104,12.5125421219039,128.4364587283381,0,0.5869733447979363,-0.006457399655725894,-0.0,0,0
22.0,46.09008034011002,12.802800094475005,0.5803737031146067,13.092986946032308,140.949000850242,0,0.5869733447979363,-0.006599641683329617,-0.0,0,0
23.0,48.179425671322605,13.383173797589611,0.5682789841517295,13.667313289665476,154.0419877962743,0,0.5750216585413521,-0.00674267438962267,-0.0,0,0
24.0,50.22523001426883,13.951452781741342,0.5447160035746572,14.22381078352867,167.70930108593979,0,0.5515995297427816,-0.006883526168124424,-0.0,0,0
25.0,52.18620762713759,14.496168785315998,0.5238530421739508,14.758095306402973,181.93311186946846,0,0.5308723227224338,-0.007019280548482944,-0.0,0,0
26.0,54.07207857896382,15.020021827489948,0.505206576550422,15.272625115765159,196.69120717587143,0,0.5123570978806752,-0.0071505213302531625,-0.0,0,0
27.0,55.890822254545334,15.525228404040371,0.48840675400455913,15.76943178104265,211.96383229163658,0,0.4956844816295518,-0.007277727624992706,-0.0,0,0
28.0,57.64908656896175,16.01363515804493,0.4731650886931318,16.250217702391495,227.73326407267922,0,0.48056638718729777,-0.007401298494166005,-0.0,0,0
29.0,59.35248088825703,16.486800246738063,0.4592527384724553,16.716426615974292,243.98348177507071,0,0.46677430905125045,-0.007521570578795137,-0.0,0,0
30.0,61.00579074675787,16.946052985210518,0.44648548927954274,17.16929572985029,260.699908391045,0,0.4541243202976769,-0.0076388310181342,-0.0,0,0
31.0,62.61313850816422,17.39253847449006,0.43471312509133225,17.609895037035727,277.86920412089535,0,0.4424664522044576,-0.007753327113125395,-0.0,0,0
32.0,64.178105758493,17.82725159958139,0.423811743416059,18.03915747128942,295.47909915793105,0,0.4316770171021678,-0.007865273686108835,-0.0,0,0
33.0,65.70382803479083,18.25106334299745,0.41367809639807035,18.457902391196487,313.51825662922045,0,0.4216529551736935,-0.007974858775623145,-0.0,0,0
34.0,67.19306918182387,18.66474143939552,0.40422535436652407,18.866854116578782,331.97615902041696,0,0.41230760247201037,-0.008082248105486297,-0.0,0,0
35.0,68.64828045754336,19.068966793762044,0.395379887088242,19.266656737306164,350.84301313699575,0,0.4035674757247247,-0.008187588636482683,-0.0,0,0
