time,kph,mps,a,delta_x,x,slope,tractionForce,rollingResist,gradeResist,airBrk,approxTf
0.0,70,19.444444444444443,-0.008285796272411706,19.440301546308238,0,0,0.0,-0.008285796272411706,-0.0,0,0
1.0,69.97017113341931,19.436158648172032,-0.008283625362373504,19.432016835490845,19.440301546308238,0,0.0,-0.008283625362373504,-0.0,0,0
2.0,69.94035008211478,19.42787502280966,-0.008281455189297548,19.42373429521501,38.87231838179908,0,0.0,-0.008281455189297548,-0.0,0,0
3.0,69.9105368434333,19.41959356762036,-0.008279285752858582,19.415453924743932,58.29605267701409,0,0.0,-0.008279285752858582,-0.0,0,0
4.0,69.880731414723,19.4113142818675,-0.008277117052731533,19.407175723341137,77.71150660175802,0,0.0,-0.008277117052731533,-0.0,0,0
5.0,69.85093379333317,19.40303716481477,-0.008274949088591506,19.398899690270472,97.11868232509916,0,0.0,-0.008274949088591506,-0.0,0,0
6.0,69.82114397661424,19.39476221572618,-0.008272781860113784,19.39062582479612,116.51758201536963,0,0.0,-0.008272781860113784,-0.0,0,0
7.0,69.79136196191783,19.386489433866064,-0.008270615366973828,19.382354126182577,135.90820784016574,0,0.0,-0.008270615366973828,-0.0,0,0
8.0,69.76158774659672,19.37821881849909,-0.008268449608847282,19.374084593694665,155.29056196634832,0,0.0,-0.008268449608847282,-0.0,0,0
9.0,69.73182132800487,19.36995036889024,-0.008266284585409971,19.365817226597535,174.664646560043,0,0.0,-0.008266284585409971,-0.0,0,0
10.0,69.70206270349739,19.36168408430483,-0.008264120296337888,19.35755202415666,194.03046378664052,0,0.0,-0.008264120296337888,-0.0,0,0
11.0,69.67231187043058,19.35341996400849,-0.008261956741307218,19.349288985637838,213.38801581079719,0,0.0,-0.008261956741307218,-0.0,0,0
12.0,69.64256882616186,19.345158007267184,-0.008259793919994316,19.341028110307185,232.737304796435,0,0.0,-0.008259793919994316,-0.0,0,0
13.0,69.6128335680499,19.33689821334719,-0.008257631832075719,19.332769397431154,252.0783329067422,0,0.0,-0.008257631832075719,-0.0,0,0
14.0,69.5831060934544,19.328640581515113,-0.008255470477228142,19.324512846276498,271.41110230417337,0,0.0,-0.008255470477228142,-0.0,0,0
15.0,69.5533863997364,19.320385111037886,-0.008253309855128479,19.316258456110322,290.73561515044986,0,0.0,-0.008253309855128479,-0.0,0,0
16.0,69.52367448425794,19.31213180118276,-0.008251149965453801,19.308006226200032,310.0518736065602,0,0.0,-0.008251149965453801,-0.0,0,0
17.0,69.4939703443823,19.303880651217305,-0.008248990807881357,19.299756155813366,329.3598798327602,0,0.0,-0.008248990807881357,-0.0,0,0
18.0,69.46427397747392,19.295631660409423,-0.008246832382088573,19.291508244218377,348.6596359885736,0,0.0,-0.008246832382088573,-0.0,0,0
19.0,69.43458538089841,19.287384828027335,-0.008244674687753058,19.28326249068346,367.951144232792,0,0.0,-0.008244674687753058,-0.0,0,0
20.0,69.4049045520225,19.279140153339583,-0.008242517724552593,19.275018894477306,387.23440672347544,0,0.0,-0.008242517724552593,-0.0,0,0
21.0,69.37523148821411,19.27089763561503,-0.008240361492165138,19.266777454868947,406.50942561795273,0,0.0,-0.008240361492165138,-0.0,0,0
22.0,69.3455661868423,19.262657274122862,-0.008238205990268834,19.25853817112773,425.77620307282166,0,0.0,-0.008238205990268834,-0.0,0,0
23.0,69.31590864527733,19.25441906813259,-0.008236051218541995,19.250301042523322,445.0347412439494,0,0.0,-0.008236051218541995,-0.0,0,0
24.0,69.28625886089058,19.24618301691405,-0.008233897176663113,19.242066068325716,464.28504228647273,0,0.0,-0.008233897176663113,-0.0,0,0
25.0,69.2566168310546,19.237949119737387,-0.00823174386431086,19.233833247805233,483.52710835479843,0,0.0,-0.00823174386431086,-0.0,0,0
