time,kph,mps,a,delta_x,x,slope,tractionForce,rollingResist,gradeResist,airBrk,approxTf
0.0,0,0.0,0.7789767841788479,0.38948839208942393,0,0,0.7826311263972485,-0.003654342218400688,-0.0,0,0
1.0,2.8043164230438524,0.7789767841788479,0.7788090559479793,1.1683813121528375,0.38948839208942393,0,0.7826311263972485,-0.003822070449269219,-0.0,0,0
2.0,5.608029024456578,1.5577858401268272,0.7786398773013875,1.947105778777521,1.5578697042422613,0,0.7826311263972485,-0.0039912490958609655,-0.0,0,0
3.0,8.411132582741574,2.336425717428215,0.778469249518631,2.7256603421875303,3.5049754830197823,0,0.7826311263972485,-0.004161876878617537,-0.0,0,0
4.0,11.213621881008645,3.1148949669468458,0.7782971738898449,3.5040435538917682,6.230635825207313,0,0.7826311263972485,-0.004333952507403652,-0.0,0,0
5.0,14.015491707012087,3.8931921408366907,0.7781236517157207,4.282253966694551,9.73467937909908,0,0.7826311263972485,-0.004507474681527745,-0.0,0,0
6.0,16.81673685318868,4.671315792552411,0.7779486843074858,5.060290134706154,14.016933345793632,0,0.7826311263972485,-0.004682442089762732,-0.0,0,0
7.0,19.617352116695628,5.449264476859897,0.7777722729868816,5.838150613353338,19.077223480499786,0,0.7826311263972485,-0.0048588534103669485,-0.0,0,0
8.0,22.417332299448404,6.2270367498467785,0.7775944190861432,6.61583395938985,24.915374093853124,0,0.7826311263972485,-0.005036707311105229,-0.0,0,0
9.0,25.216672208158517,7.004631168932922,0.7774151239479784,7.393338730906911,31.531208053242974,0,0.7826311263972485,-0.0052160024492701506,-0.0,0,0
10.0,28.015366654371242,7.7820462928809,0.7772343889255451,8.170663487343672,38.92454678414988,0,0.7826311263972485,-0.005396737471703444,-0.0,0,0
11.0,30.813410454503202,8.559280681806445,0.777052215382431,8.94780678949766,47.095210271493556,0,0.7826311263972485,-0.005578911014817543,-0.0,0,0
12.0,33.61079842987996,9.336332897188877,0.7768686046926312,9.724767199535192,56.04301706099122,0,0.7826311263972485,-0.005762521704617307,-0.0,0,0
13.0,36.40752540677342,10.113201501881507,0.7766835582405266,10.501543281001771,65.76778426052641,0,0.7826311263972485,-0.00594756815672189,-0.0,0,0
14.0,39.20358621643932,10.889885060122033,0.7764970774208617,11.278133598832465,76.26932754152818,0,0.7826311263972485,-0.006134048976386766,-0.0,0,0
15.0,41.99897569515442,11.666382137542895,0.7763091636387226,12.054536719362256,87.54746114036065,0,0.7826311263972485,-0.006321962758525914,-0.0,0,0
16.0,44.79368868425383,12.442691301181618,0.7761198183095144,12.830751210336375,99.60199785972291,0,0.7826311263972485,-0.006511308087734146,-0.0,0,0
