time,kph,mps,a,delta_x,x,slope,tractionForce,rollingResist,gradeResist,airBrk,approxTf
0.0,70,19.444444444444443,-0.96,18.964444444444442,0,0,-0.6596241251688982,-0.008285796272411706,-0.0,-0.29209007855869007,0
1.0,66.544,18.484444444444442,-0.96,18.00444444444444,18.964444444444442,0,-0.6938820744443208,-0.00803539210388204,-0.0,-0.2580825334517971,0
2.0,63.08799999999999,17.52444444444444,-0.96,17.04444444444444,36.968888888888884,0,-0.7318933673887725,-0.007787246370434061,-0.0,-0.2203193862407934,0
3.0,59.631999999999984,16.56444444444444,-0.96,16.08444444444444,54.01333333333332,0,-0.774310584280636,-0.007541359072067766,-0.0,-0.17814805664729616,0
4.0,56.17599999999998,15.60444444444444,-0.96,15.124444444444439,70.09777777777776,0,-0.8219468947917775,-0.007297730208783159,-0.0,-0.13075537499943934,0
5.0,52.71999999999998,14.644444444444439,-0.96,14.164444444444438,85.2222222222222,0,-0.8758286942682643,-0.007056359780580234,-0.0,-0.07711494595115542,0
6.0,49.263999999999974,13.684444444444438,-0.96,13.204444444444437,99.38666666666664,0,-0.9372703954575937,-0.006817247787458996,-0.0,-0.015912356754947288,0
7.0,45.80799999999997,12.724444444444437,-0.96,12.244444444444436,112.59111111111108,0,-0.9534196057705805,-0.006580394229419443,-0.0,0,0
8.0,42.35199999999997,11.764444444444436,-0.96,11.284444444444436,124.83555555555552,0,-0.9536542008935384,-0.006345799106461576,-0.0,0,0
9.0,38.895999999999965,10.804444444444435,-0.96,10.324444444444435,136.11999999999995,0,-0.9538865375814146,-0.006113462418585392,-0.0,0,0
10.0,35.43999999999996,9.844444444444434,-0.96,9.364444444444434,146.44444444444437,0,-0.954116615834209,-0.005883384165790896,-0.0,0,0
11.0,31.983999999999963,8.884444444444433,-0.96,8.404444444444433,155.80888888888882,0,-0.9543444356519218,-0.005655564348078084,-0.0,0,0
12.0,28.52799999999996,7.9244444444444335,-0.96,7.444444444444434,164.21333333333325,0,-0.954569997034553,-0.005430002965446958,-0.0,0,0
13.0,25.07199999999996,6.964444444444434,-0.96,6.484444444444433,171.65777777777768,0,-0.9547932999821025,-0.005206700017897517,-0.0,0,0
14.0,21.61599999999996,6.004444444444434,-0.96,5.524444444444434,178.1422222222221,0,-0.9550143444945702,-0.004985655505429761,-0.0,0,0
15.0,18.15999999999996,5.044444444444434,-0.96,4.564444444444433,183.66666666666654,0,-0.9552331305719562,-0.00476686942804369,-0.0,0,0
16.0,14.703999999999962,4.084444444444434,-0.96,3.6044444444444337,188.23111111111098,0,-0.9554496582142606,-0.0045503417857393055,-0.0,0,0
17.0,11.247999999999962,3.1244444444444337,-0.96,2.6444444444444337,191.8355555555554,0,-0.9556639274214833,-0.004336072578516605,-0.0,0,0
18.0,7.791999999999962,2.1644444444444337,-0.96,1.6844444444444338,194.47999999999985,0,-0.9558759381936244,-0.0041240618063755905,-0.0,0,0
19.0,4.335999999999962,1.2044444444444338,-0.96,0.7244444444444338,196.16444444444429,0,-0.9560856905306837,-0.0039143094693162616,-0.0,0,0
20.0,0.8799999999999617,0.2444444444444338,-0.96,0.031121399176952027,196.88888888888872,0,-0.9562931844326613,-0.0037068155673386175,-0.0,0,0
21.0,0.0,0,-0.96,0.0,196.92001028806567,0,-0.9563456577815993,-0.003654342218400688,-0.0,0,0
